,Place,Date,Temperature,Humidity
389,DEUSTU,2020-03-15 07:00:10,"10,3","79,05"
390,DEUSTU,2020-03-15 07:00:10,"10,3","79,32"
391,DEUSTU,2020-03-15 07:00:10,"10,3","79,46"
392,DEUSTU,2020-03-15 07:00:10,"10,3","79,03"
393,DEUSTU,2020-03-15 07:00:10,"10,3","79,47"
394,DEUSTU,2020-03-15 07:00:10,"10,2","79,66"
395,DEUSTU,2020-03-15 07:00:10,"10,2","79,92"
396,DEUSTU,2020-03-15 07:00:10,"10,2","80,20"
397,DEUSTU,2020-03-15 07:00:10,"10,2","80,10"
398,DEUSTU,2020-03-15 07:00:10,"10,2","80,00"
399,DEUSTU,2020-03-15 07:00:10,"10,1","81,20"
400,DEUSTU,2020-03-15 07:00:10,"10,0","81,80"
401,DEUSTU,2020-03-15 07:00:10,"9,9","82,70"
402,DEUSTU,2020-03-15 07:00:10,"10,0","82,30"
403,DEUSTU,2020-03-15 07:00:10,"9,9","82,80"
404,DEUSTU,2020-03-15 07:00:10,"9,8","82,80"
405,DEUSTU,2020-03-15 07:00:10,"9,8","82,90"
406,DEUSTU,2020-03-15 07:00:10,"9,8","83,10"
407,DEUSTU,2020-03-15 07:00:10,"9,7","83,60"
408,DEUSTU,2020-03-15 07:00:10,"9,7","83,40"
409,DEUSTU,2020-03-15 07:00:10,"9,7","83,60"
410,DEUSTU,2020-03-15 07:00:10,"9,7","83,30"
411,DEUSTU,2020-03-15 07:00:10,"9,7","83,70"
412,DEUSTU,2020-03-15 07:00:10,"9,7","83,90"
413,DEUSTU,2020-03-15 07:00:10,"9,7","83,90"
414,DEUSTU,2020-03-15 07:00:10,"9,4","85,00"
415,DEUSTU,2020-03-15 07:00:10,"9,3","85,40"
416,DEUSTU,2020-03-15 07:00:10,"9,1","86,00"
417,DEUSTU,2020-03-15 07:00:10,"9,0","86,80"
418,DEUSTU,2020-03-15 07:00:10,"9,1","86,30"
419,DEUSTU,2020-03-15 07:00:10,"9,0","86,70"
420,DEUSTU,2020-03-15 07:00:10,"9,0","86,70"
421,DEUSTU,2020-03-15 07:00:10,"8,9","86,70"
422,DEUSTU,2020-03-15 07:00:10,"8,8","87,60"
423,DEUSTU,2020-03-15 07:00:10,"8,7","88,30"
424,DEUSTU,2020-03-15 07:00:10,"8,7","88,40"
425,DEUSTU,2020-03-15 07:00:10,"8,6","88,80"
426,DEUSTU,2020-03-15 07:00:10,"8,6","89,40"
427,DEUSTU,2020-03-15 07:00:10,"8,5","89,60"
428,DEUSTU,2020-03-15 07:00:10,"8,4","90,00"
429,DEUSTU,2020-03-15 07:00:10,"8,2","90,40"
430,DEUSTU,2020-03-15 07:00:10,"8,2","90,70"
431,DEUSTU,2020-03-15 07:00:10,"8,1","90,70"
432,DEUSTU,2020-03-15 07:00:10,"8,0","91,10"
433,DEUSTU,2020-03-15 07:00:10,"7,9","91,00"
